Name,Category,State,Marker Type,Latitude,Longitude,Details,,,,,,,,,,,,,,,,,,,,
Alamogordo,City,New Mexico,Dot,"32° 53' 59"" N","105° 57' 37"" W",,,,,,,,,,,,,,,,,,,,,
Alaska Peninsula,Peninsula,Alaska,None,"56° 30' 01.5"" N","158° 44' 55.0"" W",,,,,,,,,,,,,,,,,,,,,
Alaska Range,Mountain Range,Alaska,None,"63° 04' 11.1"" N","151° 00' 20.8"" W",,,,,,,,,,,,,,,,,,,,,
Aleutian Islands,Island,Alaska,None,"54° 54' 09.3"" N","164° 25' 51.3"" W",,,,,,,,,,,,,,,,,,,,,
Antelope Canyon,Canyon,Arizona,Dot,"36° 51' 48.5"" N","111° 23' 10.3"" W",,,,,,,,,,,,,,,,,,,,,
Arches,National Park,Utah,Dot,"38° 44' 24.5"" N","109° 33' 06.5"" W",,,,,,,,,,,,,,,,,,,,,
Arctic Coastal Plain,Plain,Alaska,None,67° 54' 54.712'' N,153° 27' 49.43'' W,,,,,,,,,,,,,,,,,,,,,
Bandelier,National Monument,New Mexico,Dot,"35° 47' 16.1"" N","106° 19' 46.9"" W",,,,,,,,,,,,,,,,,,,,,
Bering Sea,Sea,N/A,None,54° 23′ 35.5″ N,172° 22′ 11.7″ W,,,,,,,,,,,,,,,,,,,,,
Big Bend,National Park,Texas,Dot,"29° 16' 01.9"" N","103° 09' 11.5"" W",,,,,,,,,,,,,,,,,,,,,
Big Sur,Area,California,Dot,"36° 16' 13.1"" N","121° 48' 30.4"" W",,,,,,,,,,,,,,,,,,,,,
Bob Marshall Wilderness Area,Wilderness Area,Montana,Dot,"48° 00' 10.0"" N","113° 23' 04.0"" W",,,,,,,,,,,,,,,,,,,,,
Boise,City,Idaho,Star,"43° 36' 54.6 ""N ","116° 11' 53.2"" W",State Capital,,,,,,,,,,,,,,,,,,,,
Borah Peak,Mountain,Idaho,Triangle,"44° 08' 15.4"" N","113° 46' 39.3"" W","12,662 feet",,,,,,,,,,,,,,,,,,,,
Boundary Peak,Mountain,Nevada,Triangle,"37° 50' 50.7"" N","118° 20' 58.8"" W","13,147 feet",,,,,,,,,,,,,,,,,,,,
Bristol Bay,Bay,Alaska,None,57° 59′ 33.4″ N,160° 38′ 20.8″ W,,,,,,,,,,,,,,,,,,,,,
Brooks Range,Mountain Range,Alaska,None,"68° 12' 00.9"" N","152° 14' 54.2"" W",,,,,,,,,,,,,,,,,,,,,
Bryce Canyon,National Park,Utah,Dot,"37° 36' 03.8"" N","112° 09' 38.0"" W",,,,,,,,,,,,,,,,,,,,,
Carlsbad Caverns,National Park,New Mexico,Dot,"32° 09' 04.7"" N","104° 31' 12.5"" W",,,,,,,,,,,,,,,,,,,,,
Carson City,City,Nevada,Star,39° 9′ 49.7″ N,119° 46′ 2.6″ W,State Capital,,,,,,,,,,,,,,,,,,,,
Cascade Range,Mountain Range,Multiple,None,45° 49′ 22.8″ N,121° 51′ 7.9″ W,,,,,,,,,,,,,,,,,,,,,
Central Valley,Valley,California,None,"40° 12' 01.7"" N","122° 11' 59.4"" W",,,,,,,,,,,,,,,,,,,,,
Channel Islands,National Park,California,None,"34° 01' 36.8"" N","119° 42' 02.0"" W",,,,,,,,,,,,,,,,,,,,,
