ID,Start Time,End Time,Text
1,"00:00:06,631","00:00:10,343","I wanted to let you know, I've hidden some clues in that interview setup."
2,"00:00:11,219","00:00:12,011","Oh"
3,"00:00:12,011","00:00:15,181","Within all the spaces you guys have filmed in my house."
4,"00:00:16,224","00:00:16,850","Clues to what?"
5,"00:00:18,268","00:00:20,061","Well, I'm planning on hiding a treasure."
6,"00:00:21,312","00:00:21,813","What treasure?"
7,"00:00:22,897","00:00:23,773","Well, hopefully, Forrest's."
8,"00:00:24,524","00:00:24,983","[Dog barking]"
9,"00:00:25,191","00:00:26,860","In the early days of the treasure hunt,"
10,"00:00:27,652","00:00:30,238","it was that true American adventure."
11,"00:00:32,991","00:00:36,828","And it was a beacon of hope for so many people."
12,"00:00:37,412","00:00:41,541","And that's something that is exceedingly hard to come by in the modern era."
13,"00:00:42,250","00:00:45,295","is an adventure with hopes and dreams."
14,"00:00:56,347","00:00:58,850","I think, especially to those that knew me pretty well,"
15,"00:00:59,184","00:01:01,978","it was not a surprise that I got wrapped up in the treasure hunt."
16,"00:01:02,979","00:01:05,690","Most of my family and friends would categorize me as eccentric."
17,"00:01:06,065","00:01:06,399","You ready?"
18,"00:01:08,067","00:01:09,194","Ready as I'll ever be."
19,"00:01:11,321","00:01:13,656","I have a huge variety of hobbies."
20,"00:01:14,282","00:01:16,826","And I have a lot of different things that interest me."
21,"00:01:22,665","00:01:26,961","From woodworking to titanium anodizing in the garage,"
22,"00:01:27,629","00:01:32,926","to just a little experiment around near-infrared wavelengths as a way to create,"
23,"00:01:33,134","00:01:35,386","well, x-ray vision effectively,"
24,"00:01:36,679","00:01:39,140","to software engineering, which is my main gig,"
25,"00:01:41,476","00:01:43,436","and a bit of rare artifact collecting."
26,"00:01:44,229","00:01:45,730","This is a project I'm working on."
27,"00:01:45,730","00:01:47,440","These are actually coins that I've gathered"
28,"00:01:47,440","00:01:50,193","from all around the world and from different eras."
29,"00:01:50,944","00:01:52,487","This one, I think, is pretty special."
30,"00:01:53,112","00:01:55,365","A 1652 oak-tree shilling."
31,"00:01:56,241","00:02:00,286","The currency that helped form us, America."
32,"00:02:03,039","00:02:04,457","I was always really into history."
33,"00:02:05,667","00:02:07,585","I think that's something I got from my family."
34,"00:02:11,047","00:02:12,340","So I grew up in Tucson, Arizona."
35,"00:02:13,508","00:02:17,595","My grandfather was the fishing game warden up in Montana, Wyoming, that whole area."
36,"00:02:18,638","00:02:20,348","I spent a lot of summers up there myself."
37,"00:02:21,975","00:02:24,561","And my grandfather taught me to get out and"
38,"00:02:24,561","00:02:27,105","explore and camp hike all of those things."
39,"00:02:28,106","00:02:32,235","I got a metal detector, and I must have put thousands of hours on that thing."
40,"00:02:34,320","00:02:37,115","I strongly believe that treasures can and do exist."
41,"00:02:39,576","00:02:41,035","That's been true since I was a kid."
42,"00:02:42,161","00:02:43,997","Happy birthday to Grandma and Grandpa."
43,"00:02:44,789","00:02:45,832","Oh, that's nice."
44,"00:02:47,625","00:02:49,544","Guess what it is?"
45,"00:02:50,044","00:02:50,753","I don't have a clue."
46,"00:02:51,462","00:02:52,881","It's like a wild fisherman."
47,"00:02:54,090","00:02:55,967","Gold! I told you. Gold books!"
48,"00:02:56,843","00:02:59,012","I became the family's resident treasure hunter."
49,"00:03:00,430","00:03:03,766","I think the Victoria Peak treasure was the catalyst at its core."
50,"00:03:03,766","00:03:05,476","It was just such a cool story."
51,"00:03:06,102","00:03:08,646","In the 90s, that treasure hunt was a pretty big deal."
52,"00:03:09,272","00:03:12,275","A search started this week for a legendary treasure in New Mexico."
53,"00:03:12,650","00:03:14,944","It is supposed to be down a hole, this hole,"
54,"00:03:14,944","00:03:16,821","on the White Sands Missile Range in New Mexico."
55,"00:03:17,655","00:03:20,825","It's like every kid's most amazing dream ever."
56,"00:03:21,409","00:03:24,162","Stumbling upon a cavern with that sort of fortune."
57,"00:03:25,788","00:03:26,748","Who wouldn't want that?"
58,"00:03:27,081","00:03:29,042","Like, who wouldn't want to be Indiana Jones?"
59,"00:03:30,668","00:03:32,962","He enters this cave, and he's going into this"
60,"00:03:32,962","00:03:35,423","room with this idol in the center and swiping it."
61,"00:03:36,883","00:03:39,302","I mean, fortune and glory."
62,"00:03:44,474","00:03:46,559","And so then, jumped two years later, when I"
63,"00:03:46,559","00:03:48,227","first heard about the Forrest Fenn treasure,"
64,"00:03:48,895","00:03:51,773","it really reignited that spark from my childhood."
65,"00:03:52,732","00:03:54,734","This was like a needle in a football field."
66,"00:03:55,693","00:03:58,196","It was 10 inches by 10 inches by 5 inches."
67,"00:03:59,155","00:04:00,865","In the vast Rocky Mountain wilderness."
68,"00:04:03,034","00:04:04,619","I felt myself getting more interested."
69,"00:04:06,621","00:04:10,291","I think it's fair to say that at some point, the"
70,"00:04:10,291","00:04:14,087","treasure hunt culminated into something more than a hobby."
71,"00:04:14,754","00:04:17,048","I'm still doing my work professionally and everything."
72,"00:04:18,716","00:04:20,301","Mornings, evenings, weekends."
73,"00:04:21,970","00:04:23,137","I'm doing treasure hunting."
74,"00:04:25,807","00:04:28,685","When the hunt started, we had very little to go off of."
75,"00:04:29,269","00:04:33,606","There was always that thought in the back of my mind that it was buried."
76,"00:04:33,648","00:04:36,150","If something's buried, the odds are"
77,"00:04:36,150","00:04:38,695","astronomically low that you'd ever succeed at finding it."
78,"00:04:39,946","00:04:42,991","I realized that a bit of scientific process was"
79,"00:04:42,991","00:04:46,160","needed in order to have any sort of chance at finding this."
80,"00:04:47,161","00:04:49,580","I had read this article that most dogs can"
81,"00:04:49,580","00:04:52,792","detect different precious metals 6 plus feet down."
82,"00:04:53,918","00:04:57,964","My thought was I could train Tucker to specifically"
83,"00:04:57,964","00:05:02,635","sniff out bronze, because the treasure chest is bronze."
84,"00:05:04,095","00:05:04,887","So we gave it a shot."
85,"00:05:05,430","00:05:06,514","At first, it was just treats."
86,"00:05:07,515","00:05:09,892","And then it was treats plus pieces of bronze."
87,"00:05:11,102","00:05:13,521","And the big switch happened where I removed"
88,"00:05:13,521","00:05:15,815","the treats entirely and it was just bronze."
89,"00:05:18,151","00:05:20,570","And I think what we discovered pretty quickly is"
90,"00:05:20,570","00:05:23,114","that you could smell bronze at least 4 feet down."
91,"00:05:23,364","00:05:24,866","And that was more than enough."
92,"00:05:26,534","00:05:29,245","I had an unparalleled level of confidence."
93,"00:05:30,621","00:05:33,166","We're going to find it. Yeah, we're going to find it."
94,"00:05:33,166","00:05:34,208","We're just going to take some time."
